,smiles,ROMol,n_Atoms,Energy (Hartree),CPU time (s)
0,C=C,<rdkit.Chem.rdchem.Mol object at 0x1489e63d8e40>,2,-78.03876941254534,2.218087673187256
1,C=O,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca040>,2,-113.86953646696564,1.5269896984100342
2,C#N,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca190>,2,-92.87694247778018,1.35298752784729
3,CCO,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca2e0>,3,-154.08991870721275,4.908074140548706
4,CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca4a0>,5,-266.8589851579407,21.719999074935913
5,CN=C=O,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca510>,4,-206.79559264403252,7.8504369258880615
6,C1=CCC=CC1,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca580>,6,-231.84676156682158,20.645503520965576
7,C1=CC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca5f0>,6,-230.71352354231627,7.268872976303101
8,C1=C(C)C=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca660>,7,-269.75355216648376,16.982763051986694
9,C1CCC2CCCCC2C1,<rdkit.Chem.rdchem.Mol object at 0x1489e73ca6d0>,10,-389.2048422471265,69.84265780448914
