,smiles,ROMol,n_Atoms,energy
0,C=C,<rdkit.Chem.rdchem.Mol object at 0x7feb59bc39e0>,2,-78.038769412464
1,C=O,<rdkit.Chem.rdchem.Mol object at 0x7feb59bc3a50>,2,-113.86953646696725
2,C#N,<rdkit.Chem.rdchem.Mol object at 0x7febadf6ee40>,2,-92.87694247781137
3,CCO,<rdkit.Chem.rdchem.Mol object at 0x7febadf6edd0>,3,-154.08991870729767
4,CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7febadf6ec10>,5,-266.85898515778376
5,CN=C=O,<rdkit.Chem.rdchem.Mol object at 0x7febadeb20b0>,4,-206.79559264289654
6,C1=CCC=CC1,<rdkit.Chem.rdchem.Mol object at 0x7feb591d6190>,6,-231.8467614835413
7,C1=CC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x7feb591d6820>,6,-230.71352354161087
8,C1=C(C)C=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x7feb591d6510>,7,-269.7535521669554
9,C1CCC2CCCCC2C1,<rdkit.Chem.rdchem.Mol object at 0x7feb591d64a0>,10,-389.2161246471687
